# Claude studies tested

Complementary 50 studies from data/seeds/studies.csv, disjoint from OpenAI_studies_tested.txt --
together the two 50-study audits cover all 100 real seeds in one pass instead of overlapping.
Selection date: 2026-07-28

| seed_id | doi | pmid | pmcid | bioproject_accession | ena_study_accession | dataset_id | repository | notes |
|---|---|---|---|---|---|---|---|---|
| mdp-002 | 10.1002/ece3.6071 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-004 | 10.1002/edn3.452 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-005 | 10.1002/edn3.70039 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-007 | 10.1007/s00227-008-0915-1 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-008 | 10.1007/s00248-017-0978-y |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-010 | 10.1007/s00338-004-0436-4 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-011 | 10.1007/s00338-018-1693-y |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-012 | 10.1007/s00338-021-02133-7 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-016 | 10.1007/s12526-020-01136-x |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-021 | 10.1016/j.egg.2019.100042 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-022 | 10.1016/j.envpol.2023.122650 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-023 | 10.1016/j.hal.2022.102368 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-024 | 10.1016/j.jhazmat.2024.133878 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-026 | 10.1016/j.margen.2022.100991 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-030 | 10.1016/j.scitotenv.2019.135753 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-032 | 10.1016/j.scitotenv.2023.167956 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
| mdp-036 | 10.1038/ncomms14213 |  |  |  |  |  |  | from mdp_dois_links.md, Imported into Paperpile section, stride-sampled |
