seed_id,title,doi,pmid,pmcid,bioproject_accession,ena_study_accession,dataset_id,repository,url,notes
mdp-0001,,10.1002/2015JG003300,,,,,,,,
mdp-0002,,10.1002/advs.202206120,,,,,,,,
mdp-0003,,10.1002/aff2.87,,,,,,,,
mdp-0004,,10.1002/aqc.3809,,,,,,,,
mdp-0005,,10.1002/aqc.3944,,,,,,,,
mdp-0006,,10.1002/aqc.3980,,,,,,,,
mdp-0007,,10.1002/aqc.4033,,,,,,,,
mdp-0008,,10.1002/aqc.4144,,,,,,,,
mdp-0009,,10.1002/aqc.4212,,,,,,,,
mdp-0010,,10.1002/dep2.276,,,,,,,,
mdp-0011,,10.1002/eap.2273,,,,,,,,
mdp-0012,,10.1002/eap.2284,,,,,,,,
mdp-0013,,10.1002/eap.2798,,,,,,,,
mdp-0014,,10.1002/eap.2914,,,,,,,,
mdp-0015,,10.1002/ece3.10099,,,,,,,,
mdp-0016,,10.1002/ece3.10669,,,,,,,,
mdp-0017,,10.1002/ece3.10805,,,,,,,,
mdp-0018,,10.1002/ece3.10869,,,,,,,,
mdp-0019,,10.1002/ece3.10921,,,,,,,,
mdp-0020,,10.1002/ece3.10999,,,,,,,,
mdp-0021,,10.1002/ece3.11337,,,,,,,,
mdp-0022,,10.1002/ece3.11631,,,,,,,,
mdp-0023,,10.1002/ece3.2186,,,,,,,,
mdp-0024,,10.1002/ece3.3830,,,,,,,,
mdp-0025,,10.1002/ece3.4058,,,,,,,,
mdp-0026,,10.1002/ece3.4213,,,,,,,,
mdp-0027,,10.1002/ece3.4283,,,,,,,,
mdp-0028,,10.1002/ece3.4662,,,,,,,,
mdp-0029,,10.1002/ece3.4742,,,,,,,,
mdp-0030,,10.1002/ece3.4843,,,,,,,,
mdp-0031,,10.1002/ece3.4959,,,,,,,,
mdp-0032,,10.1002/ece3.5534,,,,,,,,
mdp-0033,,10.1002/ece3.556,,,,,,,,
mdp-0034,,10.1002/ece3.5871,,,,,,,,
mdp-0035,,10.1002/ece3.5910,,,,,,,,
mdp-0036,,10.1002/ece3.6033,,,,,,,,
mdp-0037,,10.1002/ece3.6071,,,,,,,,
mdp-0038,,10.1002/ece3.6144,,,,,,,,
mdp-0039,,10.1002/ece3.6482,,,,,,,,
mdp-0040,,10.1002/ece3.70556,,,,,,,,
mdp-0041,,10.1002/ece3.7057,,,,,,,,
mdp-0042,,10.1002/ece3.70705,,,,,,,,
mdp-0043,,10.1002/ece3.71604,,,,,,,,
mdp-0044,,10.1002/ece3.8150,,,,,,,,
mdp-0045,,10.1002/ece3.9212,,,,,,,,
mdp-0046,,10.1002/ece3.9312,,,,,,,,
mdp-0047,,10.1002/ece3.9549,,,,,,,,
mdp-0048,,10.1002/ece3.9672,,,,,,,,
mdp-0049,,10.1002/ece3.9675,,,,,,,,
mdp-0050,,10.1002/ece3.9680,,,,,,,,
mdp-0051,,10.1002/ece3.9850,,,,,,,,
mdp-0052,,10.1002/ece3.9921,,,,,,,,
mdp-0053,,10.1002/ecm.1366,,,,,,,,
mdp-0054,,10.1002/ecy.1709,,,,,,,,
mdp-0055,,10.1002/ecy.2798,,,,,,,,
mdp-0056,,10.1002/ecy.4329,,,,,,,,
mdp-0057,,10.1002/edn3.111,,,,,,,,
mdp-0058,,10.1002/edn3.129,,,,,,,,
mdp-0059,,10.1002/edn3.132,,,,,,,,
mdp-0060,,10.1002/edn3.140,,,,,,,,
mdp-0061,,10.1002/edn3.154,,,,,,,,
mdp-0062,,10.1002/edn3.155,,,,,,,,
mdp-0063,,10.1002/edn3.163,,,,,,,,
mdp-0064,,10.1002/edn3.172,,,,,,,,
mdp-0065,,10.1002/edn3.181,,,,,,,,
mdp-0066,,10.1002/edn3.184,,,,,,,,
mdp-0067,,10.1002/edn3.190,,,,,,,,
mdp-0068,,10.1002/edn3.199,,,,,,,,
mdp-0069,,10.1002/edn3.200,,,,,,,,
mdp-0070,,10.1002/edn3.201,,,,,,,,
mdp-0071,,10.1002/edn3.221,,,,,,,,
mdp-0072,,10.1002/edn3.223,,,,,,,,
mdp-0073,,10.1002/edn3.232,,,,,,,,
mdp-0074,,10.1002/edn3.234,,,,,,,,
mdp-0075,,10.1002/edn3.235,,,,,,,,
mdp-0076,,10.1002/edn3.238,,,,,,,,
mdp-0077,,10.1002/edn3.245,,,,,,,,
mdp-0078,,10.1002/edn3.251,,,,,,,,
mdp-0079,,10.1002/edn3.252,,,,,,,,
mdp-0080,,10.1002/edn3.255,,,,,,,,
mdp-0081,,10.1002/edn3.257,,,,,,,,
mdp-0082,,10.1002/edn3.262,,,,,,,,
mdp-0083,,10.1002/edn3.269,,,,,,,,
mdp-0084,,10.1002/edn3.285,,,,,,,,
mdp-0085,,10.1002/edn3.294,,,,,,,,
mdp-0086,,10.1002/edn3.297,,,,,,,,
mdp-0087,,10.1002/edn3.299,,,,,,,,
mdp-0088,,10.1002/edn3.305,,,,,,,,
mdp-0089,,10.1002/edn3.337,,,,,,,,
mdp-0090,,10.1002/edn3.35,,,,,,,,
mdp-0091,,10.1002/edn3.352,,,,,,,,
mdp-0092,,10.1002/edn3.356,,,,,,,,
mdp-0093,,10.1002/edn3.378,,,,,,,,
mdp-0094,,10.1002/edn3.381,,,,,,,,
mdp-0095,,10.1002/edn3.392,,,,,,,,
mdp-0096,,10.1002/edn3.394,,,,,,,,
mdp-0097,,10.1002/edn3.400,,,,,,,,
mdp-0098,,10.1002/edn3.403,,,,,,,,
mdp-0099,,10.1002/edn3.404,,,,,,,,
mdp-0100,,10.1002/edn3.409,,,,,,,,
mdp-0101,,10.1002/edn3.423,,,,,,,,
mdp-0102,,10.1002/edn3.425,,,,,,,,
mdp-0103,,10.1002/edn3.430,,,,,,,,
mdp-0104,,10.1002/edn3.431,,,,,,,,
mdp-0105,,10.1002/edn3.433,,,,,,,,
mdp-0106,,10.1002/edn3.44,,,,,,,,
mdp-0107,,10.1002/edn3.441,,,,,,,,
mdp-0108,,10.1002/edn3.450,,,,,,,,
mdp-0109,,10.1002/edn3.451,,,,,,,,
mdp-0110,,10.1002/edn3.452,,,,,,,,
mdp-0111,,10.1002/edn3.454,,,,,,,,
mdp-0112,,10.1002/edn3.468,,,,,,,,
mdp-0113,,10.1002/edn3.478,,,,,,,,
mdp-0114,,10.1002/edn3.48,,,,,,,,
mdp-0115,,10.1002/edn3.483,,,,,,,,
mdp-0116,,10.1002/edn3.485,,,,,,,,
mdp-0117,,10.1002/edn3.486,,,,,,,,
mdp-0118,,10.1002/edn3.49,,,,,,,,
mdp-0119,,10.1002/edn3.500,,,,,,,,
mdp-0120,,10.1002/edn3.504,,,,,,,,
mdp-0121,,10.1002/edn3.509,,,,,,,,
mdp-0122,,10.1002/edn3.512,,,,,,,,
mdp-0123,,10.1002/edn3.521,,,,,,,,
mdp-0124,,10.1002/edn3.523,,,,,,,,
mdp-0125,,10.1002/edn3.526,,,,,,,,
mdp-0126,,10.1002/edn3.531,,,,,,,,
mdp-0127,,10.1002/edn3.55,,,,,,,,
mdp-0128,,10.1002/edn3.551,,,,,,,,
mdp-0129,,10.1002/edn3.556,,,,,,,,
mdp-0130,,10.1002/edn3.569,,,,,,,,
mdp-0131,,10.1002/edn3.570,,,,,,,,
mdp-0132,,10.1002/edn3.574,,,,,,,,
mdp-0133,,10.1002/edn3.578,,,,,,,,
