seed_id,title,doi,pmid,pmcid,bioproject_accession,ena_study_accession,dataset_id,repository,url,notes
mdp-001,,10.1002/2015jg003300,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-002,,10.1002/ece3.6071,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-003,,10.1002/edn3.232,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-004,,10.1002/edn3.452,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-005,,10.1002/edn3.70039,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-006,,10.1002/lno.12564,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-007,,10.1007/s00227-008-0915-1,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-008,,10.1007/s00248-017-0978-y,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-009,,10.1007/s00248-021-01868-8,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-010,,10.1007/s00338-004-0436-4,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-011,,10.1007/s00338-018-1693-y,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-012,,10.1007/s00338-021-02133-7,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-013,,10.1007/s00338-024-02594-6,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-014,,10.1007/s10530-019-02126-2,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-015,,10.1007/s11356-023-25196-1,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-016,,10.1007/s12526-020-01136-x,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-017,,10.1007/s42995-020-00057-9,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-018,,10.1016/j.csbj.2021.04.005,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-019,,10.1016/j.dsr.2024.104417,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-020,,10.1016/j.ecolind.2023.109878,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-021,,10.1016/j.egg.2019.100042,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-022,,10.1016/j.envpol.2023.122650,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-023,,10.1016/j.hal.2022.102368,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-024,,10.1016/j.jhazmat.2024.133878,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-025,,10.1016/j.marenvres.2023.106239,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-026,,10.1016/j.margen.2022.100991,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-027,,10.1016/j.marpolbul.2021.113183,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-028,,10.1016/j.marpolbul.2024.116434,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-029,,10.1016/j.pocean.2024.103280,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-030,,10.1016/j.scitotenv.2019.135753,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
mdp-031,,10.1016/j.scitotenv.2022.158213,,,,,,,,"from mdp_dois_links.md, Imported into Paperpile section, stride-sampled"
